ID,Intro to CS,Data structure,Software engineering,Operative systems,Algorithms,Computer organization,GPA
cs00000,91.57386021038815,80.24521544488402,92.78575865064094,84.91347709191727,82.22654666556214,86.71793513112515,88.73705214126934
cs00001,87.41894927149774,84.1607521392782,62.94314225456142,83.52528144076763,87.6558054294676,51.17548482245816,88.09408820597206
cs00002,85.39895803637825,77.44286616208883,59.17061512244803,81.29937104310788,67.49277109425375,64.49193438636723,67.86254380049859
cs00003,79.62421930829527,80.37943325875813,86.5262180898773,84.44617319043046,74.63572941540005,81.41229135151798,75.69018530896818
cs00004,91.1946429435681,91.16298190569087,58.31590068344176,85.72231075337484,90.31635845609418,65.22295288472552,91.7661139446281
cs00005,81.93667468823993,75.89428901830335,92.82416549882944,84.84766959439425,74.39843484272717,54.57142400639673,97.24180782298396
cs00006,88.35644407062564,90.13313344297951,66.41594070761253,84.48408899487603,84.16509023030895,64.00137754924017,75.84508623138889
cs00007,89.2235854563256,83.73780206670503,69.26488265004255,83.4240993860494,81.83964562469514,90.83658043359753,67.98628591420942
cs00008,97.7818175786843,81.12400705178734,59.69024138195071,88.6781305566157,90.9175920829565,76.99039049438663,71.84052006692254
cs00009,94.53200570692033,84.72977067566056,88.88050041191563,82.12616066942243,75.54912624383343,72.75528780079034,94.52556088784283
cs00010,90.01742459114865,86.34829889455192,89.83069664245642,86.85304810031707,89.03652045723298,67.4967743097127,59.04622061363298
cs00011,89.94541444575495,83.29936637840157,63.89306166674495,81.43798785110252,75.72040415734706,76.59348681564975,59.122116985715934
cs00012,85.24004899363962,72.84767690307652,66.0702348101736,83.57332332897396,78.20477994877695,81.54628700734632,70.38839773073963
cs00013,93.39749319216205,71.86116226610488,65.153638430579,83.11273181893914,70.7749883780645,61.40376273018804,69.33841809208215
cs00014,86.30849452625775,83.19832854321739,97.40382836088726,90.31770787185724,84.2312746200217,96.0236127666588,95.73741850032036
cs00015,90.59914512565469,72.72471412462465,63.67604150302005,82.21200493722982,71.68937041460386,73.9072118256127,71.58766921425384
cs00016,83.95500271301525,81.55267074816564,59.695281696130124,82.1366782568926,85.12596373761775,79.2295878726757,87.94091948636644
cs00017,90.72608337417869,77.80111187787035,72.88350840114772,84.76382618001998,71.24623940882442,83.55029736354294,90.47916491704095
cs00018,93.3097722446234,99.72467680816625,59.830941623879944,84.22597101520893,91.42356410377683,69.14951343329628,71.63848177966408
cs00019,95.97780262837165,79.67537866703383,65.68757116917193,86.18902402983957,89.31728684007479,64.90697522690216,98.24871297610196
cs00020,98.8617187839417,73.88863811403567,60.408124350999614,83.94863780242684,65.3700542084813,81.76959704594637,60.37730420833533
cs00021,92.46217639166191,84.06581609373771,59.08832587341896,80.53610499283386,77.90710796213072,81.21579765759782,96.59631892112573
cs00022,90.04867788507067,74.51153100891256,65.2999851856867,84.8368658228491,75.19694297111579,66.1742830799491,63.513152083306835
cs00023,88.1330585063135,83.61752353162522,94.34821933610058,90.42345216104738,85.5414936108528,76.05282617064788,78.99583468478068
cs00024,95.65129241710717,79.32780930354065,96.63750645103133,83.82520344348862,79.20529687679654,52.29680573615755,80.67070270517495
cs00025,89.83340478713572,68.60749648626928,70.4079508486871,82.44165126521959,62.04781285122007,89.8253341099821,96.13117858523611
cs00026,85.04270921315565,79.38875977188344,65.26012753990692,85.15840925096056,69.46306366698637,76.19794516908175,83.73888792837803
cs00027,87.95081573139237,83.5688644310797,75.14116101752167,87.24482327600892,92.84932763517835,61.55600410532498,81.20581023777991
cs00028,96.15586592043512,89.13790703536927,88.87841991335887,82.33883680257074,96.26000473871177,60.121322917342134,59.8076824340815
cs00029,86.76905357610786,83.56164876350418,64.64101175572023,79.28006670512733,92.58533896095366,57.92559656078744,92.86304625940289
cs00030,85.48687299934545,80.36705993357177,69.23921888382665,81.02596873488255,85.70815523303983,76.32284612632556,83.70582096778232
cs00031,91.14887617866083,95.31719177768446,60.07840159482963,95.94561447134544,87.58381202178906,54.98346013390673,82.40909939503581
cs00032,85.12816477209195,88.7193828707891,62.97547072783451,81.90112426919536,86.46414757913816,52.73995719930917,81.48317369970364
cs00033,85.71374594885228,87.86285989130394,82.22109285573136,92.34825039957734,94.90508097256767,58.8528580613396,80.06269279640003
cs00034,98.74567215415689,90.81029080966061,66.95575763711865,81.46972673999912,97.01835187405291,39.96131659411358,90.8385961410366
cs00035,90.21809182559714,75.0010380543347,96.06714495651833,81.63665981551141,78.12161312892424,74.53741166752393,75.06425433941851
cs00036,92.82791742231042,77.77743371583254,84.72225627326027,87.18305696939302,84.19102741643482,83.6128362902861,86.18028875749692
cs00037,90.73988791130849,85.52186712462417,60.01422807690778,90.16709482486024,85.16776615559169,79.96883967344264,60.6317395023283
cs00038,84.04267960406904,92.32270759340413,66.79385475194869,83.19003177579958,97.73270400597217,77.41231709896807,83.20997879854102
cs00039,89.66946047873182,67.50137463737335,65.78498973123043,86.3618147049016,61.79154253567899,81.96371214337194,88.87810354900674
cs00040,85.99170926610049,68.67570159032243,89.35535270766921,84.14195217009345,66.07882761059426,56.03684434263589,70.4209049099309
cs00041,99.48691125027813,64.79700788097222,66.66820224246091,85.05592093635912,69.23988929792763,73.47427628404466,68.69863907642082
cs00042,93.62995316406283,89.85254055626018,62.02577958139844,79.87192430787435,80.71272595491159,82.78978530246289,71.98633685460297
cs00043,92.46988837991667,90.48335113938998,71.53346081157852,80.77089282374567,94.29225447648413,75.94632000506691,68.82066875774473
cs00044,81.14562037262594,82.0973822919213,57.864422255476285,81.5707934648158,91.48311400479903,71.89646286537587,93.62533246000712
cs00045,80.24452022772053,98.12759434372268,70.32703147987648,80.51750718806514,99.52343179538249,77.57619104346439,93.45062593425641
cs00046,92.66700800542604,87.46175004284683,62.963820471755824,87.50640947292882,96.51907614083571,65.11618262788454,78.2794308689351
cs00047,91.50513545033282,68.758080492203,63.12943240653111,80.63851094615691,69.43546432692251,48.776038166662815,75.6831362012897
cs00048,88.36443179845261,80.51650348601373,83.58683810856013,89.1384260760907,73.93632939478726,45.49990098321683,80.54835573804105
cs00049,88.55348466338675,82.11451947713675,66.12341719584269,82.72325220423984,84.63463455057969,90.75112542007784,63.84328372807045
cs00050,95.74066453843339,92.29136671419884,61.8487977659218,85.45168316271209,90.97150473188623,87.92776312777023,78.25705228861398
cs00051,93.09892925850545,60.48606655225723,63.506258706660745,87.51709208841898,55.30529910132631,60.40480116147795,88.3303997515932
cs00052,87.11990273368602,94.83470057084655,87.09059718512185,82.29384233384764,88.1343600025847,83.0068028907195,75.14134386509333
cs00053,85.70841026883004,76.96183563271927,64.52060086595922,85.67049683401044,76.61026393574456,71.10132229710972,65.44534396145701
cs00054,89.6447955977548,71.64590421384645,80.91678195193711,85.7393974778204,77.1818925002573,78.7190510159587,90.500617126862
cs00055,90.06802432941055,87.88018513025638,69.39355280518767,83.75099301068457,85.50044934208404,66.22660957482616,81.73599180983403
cs00056,89.95940085441937,82.32742257113071,60.86486236043895,85.5894564702202,75.99444206801815,94.1405369526764,81.2004724720781
cs00057,94.9581900326948,64.88285948635253,61.96709365388397,86.30523281899063,61.86291945767616,77.07040719193293,67.85857939915772
cs00058,82.8472680382979,94.5415720878681,89.6932192044358,86.64526738307053,98.70738021268183,73.72724414541916,92.39210399336949
cs00059,84.60615686188642,67.78708645452511,94.20456195760536,85.87181707260206,61.17107418137837,73.39728158454953,74.29664333064639
cs00060,87.4392367783577,76.90340284760958,59.363847498814856,86.05086340168876,69.34666160513302,82.70913513531151,88.40893763955339
cs00061,92.58421188307811,77.29620917238967,80.72819723473987,87.96975971674478,70.34720367553354,78.71287058192561,92.40789659519181
cs00062,91.15222826594017,84.1529196279804,61.25821852376075,79.97920579396377,92.04978022651434,84.26175463944072,85.7457087388489
cs00063,81.15760064139738,78.10321812950231,67.05151665198309,84.64423130175632,76.40080353816114,73.32196099273165,77.58476635673077
cs00064,90.08169745284965,74.84611006996994,97.51734356609929,87.28785799596113,66.85822439541943,89.60252416730421,75.8773469217364
cs00065,96.77156821280256,83.89960016770314,73.97325777399014,84.2456667773472,82.29079385250782,64.9309709153427,73.3350873198522
cs00066,92.82875785386616,93.35205117607191,94.10104517544157,81.77573639521479,86.22426775887519,63.688922480946786,95.85588743652836
cs00067,93.53681923790441,89.56898801440893,62.35836043963602,81.59957878306824,95.58340070619549,50.58478869990695,69.08951053227383
cs00068,89.39316586437216,94.36397139536663,74.39371264452824,83.44330234053889,89.93355223330386,39.172619530053936,84.5769689470404
cs00069,91.71632836163506,87.62241995831909,85.96086112943692,82.85675985197638,77.72879391234534,99.34536710476385,87.7931596454879
cs00070,99.33550072297572,90.40335062206842,60.9020899375038,84.69212866487027,97.3590506279404,86.65555076104079,78.35390389057098
cs00071,86.61616074524943,93.81133911803249,92.57366318263924,82.13466244680649,86.89938647951948,79.59648353728518,70.11231536871796
cs00072,90.41119490246555,77.42450935091598,71.12770726220927,79.86210714253588,84.6973948507867,83.96419586824072,81.38008328631797
cs00073,93.08847842300864,78.64907539913068,89.40066081606436,81.28966519278147,83.88842603149705,65.21329302477088,71.30257415507083
cs00074,86.42875406752249,95.45473046550866,95.15307714178708,80.92905773902913,86.73673231611272,82.94122962207439,92.57064494952675
cs00075,96.71629117682737,89.46880899622471,59.59476380704855,80.38493265499964,94.50927107881573,95.80002362260205,81.10844471155089
cs00076,97.61950638055482,94.99495145538721,89.7900913919655,87.81065317368991,95.2418581494542,86.2916171925253,82.17354102854016
cs00077,98.04881963962386,75.45385821750288,64.4336684239485,82.51894552241164,77.22574790002824,53.58774151555369,73.74081635049572
cs00078,95.4200676398457,78.55493693351566,69.68713345976691,86.39143545168226,81.46009941987133,50.944898270526465,64.65616467322641
cs00079,90.1195216884761,81.16302130559085,95.38934290858914,87.44919600122911,90.11940294513741,93.26450674907261,74.5411748144572
cs00080,87.83873082369801,86.15329236192382,80.23988171951403,82.07155448770443,90.24143052167192,82.80826923897915,83.61347172611912
cs00081,91.37490321965998,97.72746727838444,68.64876049764675,88.22975126468347,91.07106031930228,76.71121823085804,87.08440199694002
cs00082,92.7814970976898,68.05963307498313,63.81398538109767,81.4478198201016,64.63173121669102,85.63944364058759,85.0382571019179
cs00083,88.12734813382211,68.60928151233158,62.679175227300846,81.99488995598165,66.05040108294465,57.07289309155651,82.51325246495881
cs00084,87.40514717246525,81.04937598201546,63.73610260080954,83.63513722482398,79.27779873481285,71.92775932123459,99.24081545783211
cs00085,78.63175955042203,97.32856702928137,75.12317379623684,84.49332291610497,92.52712805507363,56.407305797470116,53.46133241815729
cs00086,83.88447283300884,85.25051122276494,62.84841273359176,82.55973986692052,78.87873763232085,35.66680371581354,82.63025003087562
cs00087,86.5640187901116,70.15519952873728,90.54309273606617,83.70894521560479,70.90197885301664,58.413389751236735,89.57881726113952
cs00088,92.52963694873554,77.25735166859297,89.42469274256962,80.74469321023753,82.91700220983171,79.5355313031,85.46797739954447
cs00089,91.38842124646717,89.67446553905026,87.26316405885791,88.99675997361994,95.30299567922125,73.19590177894334,71.75184055106543
cs00090,86.44949253998482,93.12713384065559,61.94267084286909,84.35612029626652,88.15416105391078,88.49413466529765,85.45182672379711
cs00091,89.26175517005748,96.10128437571684,68.67349665101128,83.69763914742808,98.86021644135708,68.73155676304948,73.6656174028624
cs00092,97.37788596231812,92.93565989993516,92.79994491169039,81.27813238480806,94.33060048375864,63.80214071711355,80.95728001259475
cs00093,94.27449541202263,79.23229302933188,86.51729395751124,88.81730223614505,75.84201922836773,89.38859317758074,78.13701580122449
cs00094,89.76568043296321,75.29436889831634,68.7124728331632,86.7705594056177,77.21606866715065,78.92089811697534,74.80907357049293
cs00095,91.64610191461188,93.37257371741251,57.74872051158325,87.77503956642668,99.05788505581775,66.87094266548326,82.08814364404739
cs00096,89.33459464291074,99.11744096803997,86.01787695583786,81.66570346230883,97.88428727366842,92.16899162202634,79.44421343693877
cs00097,92.35652474597795,78.22647918996182,91.87126112985285,80.93031039191469,73.14341838116492,41.84800680315162,86.21655563698295
cs00098,87.57231592142763,77.84740195878106,60.52304111945387,80.81682869973606,76.2968432680394,72.50765404573917,81.79009111095337
cs00099,97.72498200256209,96.31139848529804,78.3911498239935,89.34549591717358,88.25650877153961,64.0118530230574,80.11853821551624
cs00100,92.28979897951282,91.83103347764599,96.43177689557966,81.63090742190028,87.07858769147954,48.68175453054469,66.65428023376059
cs00101,94.39231510827115,95.98289122266486,66.49513189941122,83.28701154779209,92.38758737931144,95.39245117714292,65.31480830116729
cs00102,84.48134103071114,90.83336847324391,66.92363086233848,95.09128127148324,95.79727688474718,73.57010106669044,90.02243849017236
cs00103,86.10755595780896,93.27225223257483,65.32932846720824,85.47656742779688,94.30920119483666,69.05913648127162,94.32991272935293
cs00104,93.19931453216839,86.67512088276114,66.08835247351355,80.32754186195115,90.66471343916943,83.99333691171563,77.81195742891887
cs00105,89.6814197467427,92.18949332875732,62.945765695763264,84.03470210806539,96.49999782689956,82.44479536813539,92.83382963311855
cs00106,97.25444380977831,89.2094091526482,62.36602806223258,79.95527631353265,86.52628060507884,82.84838625105431,82.46645883657929
cs00107,80.21715871192956,95.03990051287735,85.26228975584527,81.224056622044,94.59506063721942,44.78172352359416,77.66678038190172
cs00108,89.00437417101571,78.76085020911648,71.09745935341942,82.75020385851724,75.25931660333137,64.48773201234388,90.87394795565294
cs00109,91.61456473993549,92.61259881978323,57.586153090707086,84.3278189081329,92.64737255067753,45.541446496227444,74.04450902303702
cs00110,84.25444626476276,86.82753125906255,62.1007347240863,82.51280929928431,79.22698940824185,79.43235083061727,82.88835202971345
cs00111,92.0104705858218,92.35127019987432,87.73187871714426,83.6480327494888,90.5469783217146,80.73851201664814,77.67135194965181
cs00112,90.81073349848836,85.4022225645926,64.63680654547017,83.40353851943728,77.53172372979027,86.48828639931713,88.27902813240077
cs00113,92.87432337426074,82.29348353581905,57.329858611067564,82.19868815926422,82.7921216253256,59.806651236229385,79.9243903528038
cs00114,95.19632231664345,73.52023095425314,69.47498435158828,84.27060208973253,76.2190277360821,41.06105817829082,82.04184325268226
cs00115,93.29521273922012,70.08928263618624,87.3868464838061,84.93667784540762,75.46380433578321,95.52378947306406,68.22580487887953
cs00116,99.89941237274935,81.67808331919494,94.48461910336619,82.96239494259007,71.80659155533307,91.51832570071952,73.39736848963629
cs00117,87.89299441953236,90.1587669598205,95.77917197516973,81.26305681685392,84.6834354796198,64.97551959824754,82.91791958616557
cs00118,95.40144853635455,78.9687558020555,90.55336085196339,87.72459998511671,76.95116312838879,62.23238413804406,98.63414342729845
cs00119,89.6000631513338,90.879073373376,89.32988091056579,81.93971754960691,84.57602755944191,89.00835434298692,80.32731264381336
cs00120,93.5713880360206,93.24834744217299,60.265737546594764,80.56777462726672,98.83407601410198,79.77302019985683,73.25236424219929
cs00121,89.69764277100217,78.85429992943776,53.94914037883275,83.22140669622902,70.7452424837269,57.45894375114716,81.61683186435432
cs00122,91.15353761654936,73.90873100722983,60.235264487523416,85.14583030052954,69.9274862922103,54.18524257046423,84.61591171141372
cs00123,89.84147731429881,96.19885988431818,65.12271952707027,86.6778271180918,92.82349151941453,81.0426330395029,90.73513545765172
cs00124,87.26455286917972,87.74486112273169,90.79612107962944,83.39586445246141,94.27459486101952,75.63209572144324,69.90526563307351
cs00125,92.53574744460316,75.85852438272244,91.40620305362654,84.84023101559337,67.27511683148813,77.21227914597057,84.22456526723701
cs00126,78.53476384397226,94.64474937272063,69.4304128597201,84.33247896002506,84.889930961736,75.89862934742152,84.25140256452887
cs00127,86.82459304758095,90.56180636360601,61.57191874825522,84.47286505136746,85.814190540585,55.31826946378057,71.8974930084147
cs00128,88.832774763976,87.14883400260139,63.05382065606013,86.76773654254194,82.08902271332953,85.12473755446902,99.19961921538841
cs00129,93.91038841664748,83.31579414152154,60.08399764971786,81.67370378520624,79.30403107678771,56.687219684656384,91.26580404750328
cs00130,83.43797724538354,79.86922577372907,58.27949059910226,83.26400310805523,88.3533880488639,75.91532602604154,68.65414799960122
cs00131,87.93103975151575,85.99293665183492,54.70518294198705,90.33619105998496,90.37820464257328,75.01941215583705,78.59957083724613
cs00132,95.67087058794246,90.58188693238667,90.74040133716072,81.32955093690603,81.79304968968444,57.336012065886045,91.28750173999282
cs00133,88.80184258035789,93.15866453379648,64.55847121683398,85.92349060359288,91.01390290032056,68.0888839643285,92.24478676656607
cs00134,91.63954945795658,91.22477613247374,60.46177294690861,80.67885039511326,92.08076807300836,75.6870785248401,89.15779809191326
cs00135,95.13020717351452,88.6762004225512,67.74241463407269,81.91879112955537,80.52352177787027,64.48042056394301,88.15740493251639
cs00136,86.07141703105826,82.59520218846531,83.05055064250011,86.49528413956473,85.90250437179355,53.35174612848838,99.43907313309795
