Like,like,Grade,grade,sex
Never played,0,A+ ,1,Female
Never played,0,A+ ,1,Female
Never played,0,A+ ,1,Female
Never played,0,A+ ,1,Female
Never played,0,A ,0,Female
Never played,0,A ,0,Male
Never played,0,A ,0,Female
Never played,0,A+ ,1,Male
Never played,0,B ,0,Female
Not at all,0,A+ ,1,Female
Not at all,0,B ,0,Female
Not at all,0,A+ ,1,Male
Not at all,0,A ,0,Female
Not at all,0,C ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A+ ,1,Female
Not at all,0,A+ ,1,Male
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,B ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A+ ,1,Female
Not at all,0,B ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A+ ,1,Female
Not at all,0,B ,0,Female
Not at all,0,A+ ,1,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A+ ,1,Female
Not at all,0,A+ ,1,Female
Not at all,0,A+ ,1,Female
Not at all,0,B ,0,Female
Not at all,0,A+ ,1,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A+ ,1,Female
Not at all,0,A ,0,Female
Not at all,0,B ,0,Female
Not at all,0,A+ ,1,Male
Not at all,0,A+ ,1,Female
Not at all,0,B ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not at all,0,B ,0,Female
Not at all,0,A+ ,1,Female
Not at all,0,B ,0,Male
Not at all,0,A ,0,Female
Not at all,0,A ,0,Male
Not at all,0,A ,0,Female
Not at all,0,B ,0,Female
Not at all,0,B ,0,Female
Not at all,0,A ,0,Female
Not at all,0,A ,0,Female
Not Really,0,B ,0,Female
Not Really,0,A ,0,Female
Not Really,0,A ,0,Female
Not Really,0,A ,0,Female
Not Really,0,A ,0,Female
Not Really,0,B ,0,Male
Not Really,0,B ,0,Male
Not Really,0,B ,0,Female
Not Really,0,A+ ,1,Male
Not Really,0,A ,0,Female
Not Really,0,A+ ,1,Female
