ID,Intro to CS,Data structure,Software engineering,Operative systems,Algorithms,Computer organization,GPA
cs0000,91,87,93,82,81,75,100
cs0001,83,97,75,88,98,90,80
cs0002,87,86,71,89,89,64,90
cs0003,97,85,67,82,79,77,75
cs0004,97,89,93,85,82,77,98
cs0005,93,83,93,85,78,90,83
cs0006,83,82,85,84,84,78,73
cs0007,96,74,69,88,64,76,74
cs0008,90,80,72,84,74,63,89
cs0009,90,94,91,82,94,62,81
cs0010,87,91,70,83,96,67,64
cs0011,94,75,59,81,79,72,76
cs0012,86,83,63,92,93,63,91
cs0013,83,91,96,84,89,79,89
cs0014,94,90,72,85,87,66,66
cs0015,89,91,72,82,99,64,76
cs0016,81,72,60,85,76,67,82
cs0017,88,85,63,85,83,81,66
cs0018,85,86,90,87,88,78,80
cs0019,92,87,71,80,77,77,77
cs0020,84,83,65,82,80,79,62
cs0021,89,64,61,82,62,62,100
cs0022,85,86,89,88,82,79,86
cs0023,83,70,85,83,73,76,80
cs0024,85,68,91,83,60,64,78
cs0025,83,97,64,88,98,60,82
cs0026,84,91,57,80,94,74,67
cs0027,88,83,94,87,80,80,94
cs0028,88,81,68,84,79,76,77
cs0029,89,83,65,89,92,81,89
cs0030,92,85,69,87,87,73,62
cs0031,92,96,74,81,97,76,87
cs0032,90,81,65,83,74,63,89
cs0033,96,97,59,82,95,75,92
cs0034,88,89,62,83,80,81,75
cs0035,82,63,56,82,70,77,97
cs0036,78,76,66,82,82,72,58
cs0037,94,86,93,84,92,76,63
cs0038,80,98,89,83,92,74,72
cs0039,82,80,88,80,81,65,79
cs0040,87,81,94,84,76,77,69
cs0041,93,77,97,82,79,90,94
cs0042,88,92,65,84,88,79,76
cs0043,84,84,59,84,82,77,65
cs0044,87,85,63,80,95,74,87
cs0045,96,93,69,83,96,75,75
cs0046,83,78,72,81,87,73,82
cs0047,83,91,62,90,92,79,59
cs0048,93,83,72,80,80,91,84
cs0049,93,74,89,94,76,73,98
cs0050,73,80,95,81,73,64,93
cs0051,85,100,65,93,100,74,69
cs0052,93,92,85,81,94,76,96
cs0053,91,94,67,83,94,78,82
cs0054,92,87,85,91,92,73,73
cs0055,94,90,82,86,91,67,81
cs0056,90,83,71,81,80,67,78
cs0057,92,62,71,83,62,90,94
cs0058,92,72,57,84,81,77,77
cs0059,81,77,84,84,73,73,83
cs0060,86,85,91,85,93,73,66
cs0061,86,83,89,83,85,79,71
cs0062,91,76,80,89,80,97,76
cs0063,85,84,87,94,75,73,92
cs0064,85,75,67,85,85,80,87
cs0065,93,71,73,80,67,66,97
cs0066,84,83,80,84,82,75,100
cs0067,91,64,73,83,56,76,65
cs0068,77,72,62,88,80,83,89
cs0069,89,100,67,81,96,89,98
cs0070,88,80,87,83,82,92,85
cs0071,90,90,72,82,92,65,90
cs0072,92,77,92,83,73,72,84
cs0073,96,74,71,81,84,72,85
cs0074,94,94,86,82,100,78,95
